0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
3.4917713e-05,1.0570782e-24,-1.665e-41,-1.3633e-41,-2.1525e-41,-1.5121e-41,-1.3954e-41,-2.5544e-41,-1.9935e-41,8.663e-42,5.87e-42,0.0,0.8340162,0.8117356,0.80492634,0.8367033,0.84275794,0.83892864,0.84076065,0.8345322,0.8106693,0.80612206,0.8110553,0.81136024,0.81157124,0.8070865,0.8115606,0.81715274,0.80775326,1.5627e-41,3.4731e-41,2.0806e-41,3.6186e-41,3.4235e-41,3.357e-41,3.624e-41,-6.003e-42,1.61e-43,1.668e-41
-1.3242e-41,-2.4618e-41,-1.6348e-41,-3.1915e-41,-1.5763e-41,-2.5536e-41,-1.2316e-41,-1.4847e-41,-2.5072e-41,-1.2972e-41,-1.8217e-41,-1.7328e-41,0.0,3.1895e-41,3.4129e-41,3.7443e-41,3.001e-41,1.5483e-41,3.7423e-41,9.14e-42,2.2138e-41,1.898e-41,2.1727e-41,5.558e-42,3.727e-41,3.41e-41,3.8283e-41,3.0138e-41,1.5438e-41,2.0233e-41,3.015e-41,3.1878e-41,3.529e-41,2.8875e-41,2.5087e-41,2.4004e-41,2.6406e-41,3.2988e-41,2.8099e-41
-2.9942e-41,-2.0572e-41,-1.8033e-41,-1.9777e-41,-1.359e-41,-1.4496e-41,-3.0529e-41,-2.4416e-41,-1.7009e-41,-1.347e-41,-1.5776e-41,-1.9786e-41,-1.6502e-41,0.0,-9.295e-42,3.4524e-41,0.591004,0.5925261,0.5908925,0.591478,0.59156954,0.5911441,0.5907618,0.5918873,0.59241295,0.5930303,0.59085727,0.59136236,0.5913066,0.5909829,0.5931481,0.5933648,0.5910926,0.5932698,0.5928957,0.5925632,0.5911776,0.5912362,0.5926884
-1.6739e-41,-1.2947e-41,3.582e-41,-1.9754e-41,-3.1482e-41,-3.5502e-41,-3.1812e-41,-3.1892e-41,-3.8058e-41,-3.668e-41,-3.2695e-41,-1.095e-41,-1.351e-41,-3.6322e-41,0.0,0.5930853,0.59092885,0.59055966,0.5905464,0.5904083,0.5910548,0.5926063,0.59302294,0.59255123,0.5928534,0.5929018,0.5926903,0.5929111,0.5923182,0.59279984,-5.097e-42,2.86e-43,1.1817e-41,1.167e-41,5.318e-42,-1.2788e-41,-1.1258e-41,1.3304e-41,2.135e-41
-7.074e-42,-1.1122e-41,-3.453e-42,-3.8617e-41,-3.4405e-41,-2.315e-41,-3.8517e-41,-5.234e-42,-3.9172e-41,-3.8766e-41,-5.898e-42,-3.736e-42,-5.217e-42,-3.94e-41,-3.6913e-41,0.0,3.4304e-41,-1.9355e-41,-7.699e-42,2.503e-42,-5.895e-42,3.2216e-41,3.4183e-41,-2.0711e-41,3.602e-41,3.2175e-41,3.6996e-41,-1.8014e-41,-3.807e-42,-3.606e-42,3.9044e-41,1.272e-42,3.754e-41,8.219e-42,-8.978e-42,-2.0672e-41,1.0584e-41,9.139e-42,2.1e-44
-6.737e-42,-2.3853e-41,-3.1371e-41,-4.84e-42,-3.1606e-41,-1.373e-42,-3.9723e-41,-2.488e-41,-2.668e-41,-9.124e-42,-3.3459e-41,2.037e-42,-3.1305e-41,0.012648231,4.067164e-11,0.014641003,0.0,3.4199e-41,3.3268e-41,-4.836e-42,3.3696e-41,5.658e-42,6.155e-42,3.1e-42,8.984e-42,3.47e-42,1.3116e-41,-2.8466e-41,3.1793e-41,9.71e-43,1.3984e-41,-5.311e-42,3.8928e-41,1.0838e-41,-5.794e-42,1.519e-41,4.514e-42,-1.513e-42,-1.08e-43
0.012495648,0.01197254,0.011645148,0.018448625,2.8453838e-05,1.2453296e-05,4.9718302e-12,0.008724575,8.105421e-20,0.008308354,0.009724652,0.008950621,1.0478963e-38,6.761e-42,0.009464867,3.0513685e-22,6.5261984e-12,0.0,1.8316e-41,-2.2019e-41,-1.8196e-41,-9.218e-42,-2.1032e-41,-5.876e-42,9.07e-42,-2.996e-42,3.8966e-41,-4.641e-42,-9.043e-42,-8.21e-43,-1.2764e-41,1.5114e-41,-1.8639e-41,1.031e-41,8.999e-42,9.4e-43,6.785e-42,1.72e-43,3.9412e-41
1.6462242e-07,0.019149432,0.010496415,1.8699e-41,0.018518016,0.035452247,0.032507706,0.02517171,0.01791152,8.13502e-09,2.6333964e-25,2.1001053e-06,1.3932044e-08,1.226193e-07,1.0844616e-09,1.0680267e-07,2.1703723e-05,7.0352133e-09,0.0,1.435e-41,7.896e-42,-5.04e-42,3.8988e-41,3.311e-42,-1.629e-41,1.0843e-41,2.316e-42,3.3079e-41,3.7555e-41,1.0765e-41,1.1789e-41,-6.494e-42,-4.22e-42,8.123e-42,1.1038e-41,-2.288e-42,-1.485e-42,-2.735e-42,-4.414e-42
3.456682e-05,0.007269997,1.8523502e-05,0.0004141056,0.0014506544,0.00011973046,6.9846183e-06,0.0026888722,0.008622858,0.021982534,1.7177667e-06,0.013118695,0.00010350021,5.908557e-05,1.4336017e-07,0.024802148,0.037242066,0.00011865222,0.033995125,0.0,1.14e-43,2.798e-42,9.791e-42,-5.329e-42,-5.27e-43,1.2226e-41,3.3406e-41,3.8625e-41,4.0496e-41,1.1564e-41,-2.915e-42,-2.536e-42,-9.9e-43,8.639e-42,1.0786e-41,-7.997e-42,9.089e-42,3.7317e-41,-8.525e-42
0.02448689,0.008991905,0.00037288386,0.00015353799,0.011486703,1.3037385e-05,8.3249163e-10,3.3418567e-13,-1.6152278e-30,2.7773835e-06,0.015045597,0.031195065,0.015669756,0.023165546,0.021528648,0.020391844,0.021512844,0.005431985,0.021765506,-3.5353e-41,0.0,0.69442356,0.6415685,0.68962884,0.6811952,0.6784861,0.68260586,0.68501854,0.6609953,0.6525851,0.6420417,0.6909528,0.64300495,0.6770047,0.67873466,0.6892665,0.6260444,0.6847191,0.6289855
