0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
-9.281e-42,1.2407e-41,1.1684e-41,1.0506e-41,9.592e-42,-1.087e-41,1.0615e-41,1.0905e-41,1.1632e-41,6.557e-42,3.1e-42,1.1932e-41,-1.0891e-41,0.0,-1.2558e-41,-1.2606e-41,3.564e-42,-1.0459e-41,-8.7e-43,4.776e-42,-1.0912e-41,5.382e-42,-8.814e-42,6.908e-42,-5.37e-42,-5.381e-42,-1.0486e-41,1.2355e-41,6.43e-42,-3.701e-42,4.386e-42,-1.1432e-41,-7.874e-42,6.557e-42,8.157e-42,-1.136e-42,-4.425e-42,3.542e-42,-3.222e-42
1.0563e-41,1.0633e-41,7.919e-42,7.903e-42,0.4920345,0.37501544,0.44139954,0.5311371,0.37315387,0.37108275,0.5310566,0.37243593,0.5349582,0.4932184,0.0,-9.548e-42,-5.13e-42,7.442e-42,-7.47e-43,-1.0985e-41,3.53e-43,-6.149e-42,2.343e-42,-1.03e-42,-1.2544e-41,3.552e-42,4.567e-42,-3.229e-42,1.624e-42,8.901e-42,1.2383e-41,2.532e-42,7.013e-42,5.298e-42,2.456e-42,2.521e-42,1.1826e-41,2.784e-42,1.1614e-41
0.53593504,0.52819604,0.5265776,0.529957,0.49207744,0.4910996,0.49036863,0.52866435,0.5323959,0.4886797,0.5330619,0.5305305,0.3730517,0.5284323,0.37146354,0.0,2.856e-42,1.2581e-41,9.031e-42,2.452e-42,2.891e-42,3.06e-42,2.741e-42,3.335e-42,2.997e-42,2.937e-42,3.444e-42,8.62e-42,3.067e-42,3.241e-42,2.581e-42,3.066e-42,2.385e-42,2.89e-42,1.2113e-41,3.007e-42,1.1692e-41,9.292e-42,3.181e-42
0.49291578,0.44397557,0.37170777,0.5299156,0.5302809,0.52873415,0.37572137,0.38315395,0.49205247,0.48988888,0.36626622,0.53219795,0.5301325,0.40025008,0.35265115,0.37943125,0.0,3.266e-42,2.934e-42,3.184e-42,1.185e-41,2.323e-42,1.2593e-41,-1.2319e-41,-6.239e-42,-1.1456e-41,-1.0735e-41,8.605e-42,-1.143e-41,-1.152e-41,1.146e-41,-1.201e-41,9.201e-42,-1.1845e-41,-1.1393e-41,-1.2401e-41,9.803e-42,1.0563e-41,1.2214e-41
0.4048957,0.3515816,0.3515193,0.404886,0.35130772,0.40620402,0.40086544,0.40615338,0.40470642,0.40359387,0.4048675,0.40037552,0.39981544,0.4003399,0.40399626,0.4053983,0.39933273,0.0,-1.1767e-41,-1.0556e-41,8.814e-42,-1.1814e-41,-1.0972e-41,8.364e-42,-1.0868e-41,-1.2012e-41,-6.198e-42,1.1812e-41,8.996e-42,-8.565e-42,-1.1746e-41,-1.1237e-41,-1.2008e-41,8.24e-43,-1.0556e-41,9.728e-42,-7.228e-42,-1.0508e-41,-1.0822e-41
0.4056156,0.40521878,0.35437107,0.40480497,0.3521258,0.40089375,0.38036,0.35100636,0.40475824,0.4045043,0.40420076,0.35344908,0.3562687,0.40083936,0.3998663,0.3485372,0.4053614,0.40481296,0.0,-1.1307e-41,1.609113,1.545374,1.5764914,1.5565459,1.5455008,1.5449799,1.5585233,1.5450343,1.5564771,1.6080687,1.557339,1.5579276,1.5588273,1.5567499,1.6112163,1.607201,1.5589769,1.5576749,1.6102846
-1.071e-41,-1.024e-42,-1.2203e-41,-1.1489e-41,-1.187e-42,-1.171e-41,-1.1922e-41,-3.04e-43,-1.1537e-41,-1.62e-42,-1.1464e-41,-1.2313e-41,-1.253e-41,-1.2201e-41,-1.422e-42,-1.962e-42,-1.697e-42,-1.1736e-41,-1.226e-41,0.0,1.5568835,1.5570277,1.5456499,1.5454916,1.5568742,1.5452162,1.6074284,1.5761951,1.5449263,1.5575272,1.5591974,1.5587671,1.5449574,1.5450456,1.6078731,1.6091986,1.5450575,1.5567995,1.5580912
-3.292e-42,-1.2317e-41,-1.221e-41,-1.1628e-41,-1.212e-41,-1.2273e-41,-1.163e-42,-1.757e-42,-1.1997e-41,-1.2416e-41,-1.2146e-41,-1.2424e-41,-1.799e-42,-1.1621e-41,-1.188e-42,-1.6e-42,-1.229e-41,-1.1692e-41,-1.2481e-41,0.34180084,0.0,1.6746322,1.670043,1.6717964,1.6620414,1.6700553,1.6700655,1.6624002,1.6696936,1.6619511,1.6744616,1.6620092,1.6625959,1.6627401,1.6622539,1.6745087,1.6747733,1.6624709,1.6621861
0.25588426,0.30372137,0.34145638,0.25471154,0.25202587,0.34031904,0.2545529,0.34176752,0.34171572,0.34167284,0.3379162,0.33880362,0.3400407,0.34128952,0.341443,0.3402877,0.34050214,0.34080973,0.33976775,0.3419583,0.33914378,0.0,1.6749315,1.661903,1.6622846,1.6700658,1.6700784,1.6623442,1.6699464,1.674483,1.6717402,1.6695336,1.6622632,1.662556,1.6624902,1.6697798,1.6695716,1.6747484,1.6748439
0.25811842,0.25529274,0.33879018,0.34149718,0.3050077,0.25135112,0.34012434,0.34000665,0.3397483,0.25549752,0.261582,0.34139705,0.3403696,0.2468751,0.34042254,0.33958465,1.3810773,1.3319573,1.3573943,1.4022588,1.3319578,1.3315736,0.0,1.6699917,1.6621281,1.6624625,1.2419035,1.2253648,1.2345843,1.2672731,1.2252332,1.2257224,1.2677568,1.2266203,1.268313,1.2424998,1.2690852,1.266895,1.2665929
